BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comments,,,,,,,,,,
Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Has Quality(Image),Bubble Number,Item Number,Item Description,Item Rev,Qty,UOM,Item Lifecycle Phase,BOM Notes,Ref Des,Component Effective From,Component Discontinue Date,Alternate Part(s),Alternate FG Part(s),Alternate Document(s),Subclass,Sites,Planned?,Scrap Factor,OP #,Thumbnail,Attachments(Image),Manufacture Part Has Redline,Mfr. Name,Mfr. Part Number,Legacy Part #,Mfr. Part Description,,Mfr. Part Lifecycle Phase,Preferred Status,Sites,Reference Notes,RoHS Compliant?,RoHS Compliance Statement,page number on schematic,part added to library?,Link to part,Link to datasheet
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,VISHAY_RMS1,CRCW04020000Z0ED,,"RES,0R,1%,0402,1/16W,200PPM,CHIP",,Active,Preferred,,ROHS EXEMPT: 7(C)-1,RoHS3 Compliant with exemptions,Exemption 7(c)-I shown on RoHS evidence,,,https://www.digikey.ca/product-detail/en/CRCW04020000Z0ED/541-0.0JCT-ND/1182611?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=cad&site=us&utm_source=octopart,http://www.vishay.com/docs/20035/dcrcwe3.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,RC0402JR-070RL,,"JUMPER, METAL GLAZE/THICK FILM, 0.0625 W, 0 OHM, SURFACE MOUNT, 0402",,Active,Preferred,,ROHS EXEMPT: 7(C)-1,RoHS3 Compliant with exemptions,Cleared. Exemption 7(c)-I,,,https://www.digikey.ca/product-detail/en/RC0402JR-070RL/311-0.0JRCT-ND/729353?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=cad&site=us&utm_source=octopart,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf
1,true,true,false,false,false,0,10021558,"RESISTOR, 33 K OHM, +/-1%, 0.063W,0402",B        ECO-R252636,1,Each,Production,,R35,,,,,,Part,BDRM,,1,,,true,false,VISHAY_RMS1,CRCW040233K0FKED,,"THICK FILM, RECTANGULAR CHIP RESISTORS",,Active,Preferred,,ROHS EXEMPT: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,https://www.digikey.ca/product-detail/en/CRCW040233K0FKED/541-33.0KLCT-ND/1183294?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=cad&site=us&utm_source=octopart,http://www.vishay.com/docs/20035/dcrcwe3.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,RC0402FR-0733KL,232270673303L,"RESISTOR, METAL GLAZE/THICK FILM, 0.0625 W, 1 %, 100 PPM, 33000 OHM, SURFACE MOUNT, 0402",,Active,Preferred,,BRAND: PHYCOMP. ROHS EXEMPT: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,RC0402FR-0733KL,,"RESISTOR, METAL GLAZE/THICK FILM, 0.0625 W, 1 %, 100 PPM, 33000 OHM, SURFACE MOUNT, 0402",,Active,Preferred,,ROHS EXEMPT: 7(C)-1,RoHS3 Compliant with exemptions,Exemption 7(c)-I shown on RoHS evidence,,,https://www.digikey.ca/product-detail/en/RC0402FR-0733KL/311-33.0KLRCT-ND/729539?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=cad&site=us&utm_source=octopart,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf
1,true,true,false,false,false,0,10022129,BATTERY NI-MH TYPE V150H 4.8V,B        ECO-R252636,1,Each,Production,,BAT1,,,,,,Part,BDRM,,1,,,true,false,VARTA                           (917650),55615 604 059,,VARTA MICROBATTERY,,Active,Preferred,,ROHS OUT OF SCOPE.NO ROHS EVIDENCE REQUIRED.,N/A,Legacy Inventory Status: Cleared,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,VARTA_RMS1,55615604940,,,,Active,Preferred,,ROHS OUT OF SCOPE.NO ROHS EVIDENCE REQUIRED.,N/A,Legacy Inventory Status: Cleared,,,https://www.newark.com/varta/55615604940/nickel-metal-hydride-nimh-battery/dp/23WX3863,
1,true,true,false,false,false,0,10022130,BUZZER,B        ECO-R252636,2,Each,Production,,"BUZ1,BUZ2",,,,,,Part,BDRM,,1,,,true,false,"MURATA MANUFACTURING CO., LTD.",PKM33EPH1201C,,,"Possible Replacement: F/BC11-S LF, Digisound",Active,Preferred,,ROHS EXMEPT: 7(C)-1 | NOTE: NO STATED REPLACEMENT,Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://static6.arrow.com/aropdfconversion/7b70aa7e830c779afe0b0b228e977929034d7c7b/p37e.pdf
1,true,true,false,false,false,0,10022132,"CAPACITOR, CERAMIC, 680 PF, 50V, +/-5%, 0402",B        ECO-R252636,2,Each,Production,,"C4,C6",,,,,,Part,BDRM,,1,,,true,false,"MURATA MANUFACTURING CO., LTD.",GRM1555C1H681JA01D,,MONOLITHIC CERAMIC CHIP CAPACITOR,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,https://www.digikey.ca/product-detail/en/GRM1555C1H681JA01D/490-3240-1-ND/702781?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=cad&site=us&utm_source=octopart,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H681JA01-01.pdf
