BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Has Quality(Image),Bubble Number,Item Number,Item Description,Item Rev,Qty,UOM,Item Lifecycle Phase,BOM Notes,Ref Des,Component Effective From,Component Discontinue Date,Alternate Part(s),Alternate FG Part(s),Alternate Document(s),Subclass,Sites,Planned?,Scrap Factor,OP #,Thumbnail,Attachments(Image),Manufacture Part Has Redline,Mfr. Name,Mfr. Part Number,Legacy Part #,Mfr. Part Description,comments,page number on schematic,part added to library?,Link to part,Link to datasheet,Mfr. Part Lifecycle Phase,Preferred Status,Sites,Reference Notes,RoHS Compliant?,RoHS Compliance Statement
,,,,,,,,,,,,,,"C46,C62,C69,C79,C82,C105",,,,,,,,,,,,true,false,"MURATA MANUFACTURING CO., LTD.",GRM21BR71H104KA01L,,MONOLITHIC CERAMIC CAPACITOR,,,,https://canada.newark.com/murata/grm21br71h104ka01l/capacitor-ceramic-0-1uf-50v-x7r/dp/18X5191?CMP=AFC-SF-FC,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C46,C62,C69,C79,C82,C105",,,,,,,,,,,,true,false,YAGEO_RMS1,223858015649,223858015649,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.1 UF, SURFACE MOUNT, 0805",,,,,,Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C46,C62,C69,C79,C82,C105",,,,,,,,,,,,true,false,SAMSUNG_RMS1,CL21B104KBCNNNC,,MULTILAYER CERAMIC CAPACITOR,,,,https://canada.newark.com/samsung-electro-mechanics/cl21b104kbcnnnc/cap-0-1uf-50v-mlcc-0805/dp/82AC9428?CMP=AFC-SF-FC,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C46,C62,C69,C79,C82,C105",,,,,,,,,,,,true,false,YAGEO_RMS1,CC0805KRX7R9BB104,,CAP CER .1UF 50V 10% X7R 0805,,6,Y,https://canada.newark.com/yageo/cc0805krx7r9bb104/ceramic-capacitor-0-1uf-50v-x7r/dp/65R8992?CMP=AFC-SF-FC,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C46,C62,C69,C79,C82,C105",,,,,,,,,,,,true,false,AVX_RMS1,08055C104KAT2A,,"CAPACITOR CERAMIC, 100NF, +/-10%, 50V, X7R,0805, X7R DIELECTRIC",,,,https://canada.newark.com/avx/08055c104kat2a/smd-multilayer-ceramic-capacitor/dp/19X2260?CMP=AFC-SF-FC,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022966,"CAPACITOR CERAMIC, 220PF, 50V,+/-5%, NPO,0402",C        ECO-R252636,1,Each,Production,,C47,,,,,,Part,CBRM,,1,,,true,false,YAGEO_RMS1,CC0402JRNPO9BN221,223886915221,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, C0G, 0.00022 UF, SURFACE MOUNT, 0402",,,,https://canada.newark.com/yageo/cc0402jrnpo9bn221/ceramic-capacitor-220pf-50v-c0g/dp/65R7570?CMP=AFC-SF-FC,,Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,C47,,,,,,,,,,,,true,false,"MURATA MANUFACTURING CO., LTD.",GRM1555C1H221JA01D,,MONOLITHIC CERAMIC CAPACITOR,,,,https://www.futureelectronics.com/p/6113241?utm_campaign=FindChips_NA_Inventory&utm_medium=buynow&utm_source=findchips&utm_content,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,C47,,,,,,,,,,,,true,false,YAGEO_RMS1,CC0402JRNPO9BN221,,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, C0G, 0.00022 UF, SURFACE MOUNT, 0402",,,,https://canada.newark.com/yageo/cc0402jrnpo9bn221/ceramic-capacitor-220pf-50v-c0g/dp/65R7570?CMP=AFC-SF-FC,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022967,"CAPACITOR CERAMIC,1UF,16V,+/-10%, 0805",D        ECO-R252636,3,Each,Production,,"C54,C112,C114",,,,,,Part,CBRM,,1,,,true,false,KEMET_RMS1,C0805C105Z4VACTU,,CERAMIC CHIP CAPACITOR,,,,https://canada.newark.com/kemet/c0805c105z4vactu/cap-mlcc-y5v-1uf-16v-0805-reel/dp/02H0693?CMP=AFC-SF-FC,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C54,C112,C114",,,,,,,,,,,,true,false,KEMET_RMS1,C0805C105Z4VAC,,CERAMIC SURFACE MOUNT,,,,https://www.mouser.ca/ProductDetail/KEMET/C0805C105Z4VAC?utm_term=C0805C105Z4VAC&qs=esDHISMOsl1GlORY%2FNJzfA==&utm_campaign=C0805C105Z4VAC&utm_medium=aggregator&utm_source=findchips&utm_content=KEMET,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
