Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Has Quality(Image),Bubble Number,Item Number,Item Description,Item Rev,Qty,UOM,Item Lifecycle Phase,BOM Notes,Ref Des,Component Effective From,Component Discontinue Date,Alternate Part(s),Alternate FG Part(s),Alternate Document(s),Subclass,Sites,Planned?,Scrap Factor,OP #,Thumbnail,Attachments(Image),Manufacture Part Has Redline,Mfr. Name,Mfr. Part Number,Legacy Part #,Mfr. Part Description,Mfr. Part Lifecycle Phase,Preferred Status,Sites,Reference Notes,RoHS Compliant?,RoHS Compliance Statement,comments,page number on schematic,part added to library?,Link to part,Link to datasheet
1,TRUE,TRUE,TRUE,FALSE,FALSE,0,10022534,IC BRUSHLESS DC MOTOR CONTROLLER,C        ECO-R252633,1,Each,Production,,IC1,,,,,,Part,CBRM,,1,,,TRUE,FALSE,ON SEMICONDUCTOR_RMS1,MC33035DWR2G,,IC CTRLR MOTOR DC BRSHLSS 24SOIC,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.questcomp.com/part/4/mc33035dwr2g/256607755?utm_term=mc33035dwr2g&utm_campaign=aktype0&utm_medium=industry-cpc&utm_source=findchips&utm_content=standardpricing,https://www.onsemi.com/pub/Collateral/MC33035-D.PDF
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,ON SEMICONDUCTOR_RMS1,MC33035DWG,,BRUSHLESS DC MOTOR CONTROLLER,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.futureelectronics.com/p/3302924?utm_campaign=FindChips_NA_Inventory&utm_medium=buynow&utm_source=findchips&utm_content,https://www.onsemi.com/pub/Collateral/MC33035-D.PDF
1,TRUE,TRUE,TRUE,FALSE,FALSE,0,10022536,SINGLE CHANNEL MOSFET DRIVER,C        ECO-R252633,3,Each,Production,,"IC3,IC4,IC5",,,,,,Part,CBRM,,1,,,TRUE,FALSE,INFINEON_RMS1,IR2118SPBF,,SINGLE CHANNEL DRIVER,Active,Preferred,,EXEMPT AS PER ANNEX 7C,Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://www.rocelec.com/part/ROCINFIR2118SPBF?utm_medium=buyNow&utm_source=findChips,https://www.infineon.com/dgdl/ir2117.pdf?fileId=5546d462533600a4015355c84331168d
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,INFINEON_RMS1,IR2118STRPBF,,SINGLE CHANNEL DRIVER,Active,Preferred,,EXEMPT AS PER ANNEX 7C,Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://www.rocelec.com/part/INFINFIR2118STRPBF?utm_medium=buyNow&utm_source=findChips,https://www.infineon.com/dgdl/ir2117.pdf?fileId=5546d462533600a4015355c84331168d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFINEON_RMS1,IR2118STRPBF,,SINGLE CHANNEL DRIVER,,,,,,,,,,https://www.avnet.com/shop/emea/products/infineon/ir2118spbf-3074457345632878793/,https://www.infineon.com/dgdl/ir2117.pdf?fileId=5546d462533600a4015355c84331168d
1,TRUE,TRUE,TRUE,FALSE,FALSE,0,10022537,"IC, VOLTAGE REGULATOR, 15V,500MA,DPACK",B        ECO-R252633,1,Each,Production,,IC6,,,,,,Part,CBRM,,1,,,TRUE,FALSE,STMICROELECTRONICS,L78M15CDT,,POSITIVE VOLTAGE REGULATOR,Active,Preferred,,EXEMPTION - 7A,Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://www.questcomp.com/part/4/l78m15cdt/227634609?utm_term=l78m15cdt&utm_campaign=aktype0&utm_medium=industry-cpc&utm_source=findchips&utm_content=standardpricing,https://www.st.com/content/ccc/resource/technical/document/datasheet/d7/5f/dc/5c/d5/b6/48/7c/CD00000447.pdf/files/CD00000447.pdf/jcr:content/translations/en.CD00000447.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,STMICROELECTRONICS,L78M15CDT-TR,,POSITIVE VOLTAGE REGULATOR,Active,Preferred,,EXEMPTION - 7A,Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/stmicroelectronics/l78m15cdt-tr/linear-voltage-regulator-15v-d/dp/89K1372?CMP=AFC-SF-FC,https://www.st.com/content/ccc/resource/technical/document/datasheet/d7/5f/dc/5c/d5/b6/48/7c/CD00000447.pdf/files/CD00000447.pdf/jcr:content/translations/en.CD00000447.pdf
1,TRUE,TRUE,TRUE,FALSE,FALSE,0,10022538,"CONNECTOR, 2 CONTACTS,MICROFIT 3.0",B        ECO-R252633,1,Each,Production,,J1,,,,,,Part,CBRM,,1,,,TRUE,FALSE,MOLEX_RMS1,436500212,,CONNECTOR,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.bristolelectronics.com/436500212-molex,https://www.molex.com/pdm_docs/ps/PS-43650.pdf
1,TRUE,TRUE,TRUE,FALSE,FALSE,0,10022541,"COPPER WIRE, SWG20 DIA: 0.91",B        ECO-R252633,1,Each,Production,,J4,,,,,,Part,CBRM,,1,,,TRUE,FALSE,RS COMPONENTS LIMITED,355063,,TINNED ANNEALED COPPER WIRE,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.alliedelec.com/product/rs-pro-by-allied/355063/70825757/?utm_campaign=partsourcing_findchips&utm_medium=part_sourcing&utm_source=findchips,https://www.alliedelec.com/m/d/594d7670840e338766677370df3c5f93.pdf
1,TRUE,TRUE,TRUE,FALSE,FALSE,0,10022542,"CONNECTOR, O2 VALVE, 2 CONTACTS",C        ECO-R252633,1,Each,Production,,J3,,,,,,Part,CBRM,,1,,,TRUE,FALSE,MOLEX_RMS1,22057028,,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://store.nacsemi.com/Products/Detail?auth=n&utm_campaign=listing&part=22057028&utm_medium=aggregator&Mfr=MOLEX&stock=XSKDRABA0005648&utm_source=findchips&utm_content=textlink,https://www.molex.com/pdm_docs/sd/022057028_sd.pdf
