Item Number,Item Description,Ref Des,Mfr. Name,Mfr. Part Number,Mfr. Part Description
10022963,"CAPACITOR ELECTROLYTIC, 100UF, 35V +/-20%",C21,MULTICOMP                       (920630),MCRH35V107M8X11,ELECTROLYTIC CAPACITOR
,,,LELON,RXW101M1V-SA-0811,ALUMINIUM ELECTROLYTIC CAPACITOR
10022964,"BUFFER WITH OPEN DRAIN OUTPUT,SOT23","IC8,IC9,IC20",TEXAS INSTRUMENTS_RMS1,SN74LVC1G07DBVT,SINGLE BUFFER DRIVER
,,,NXP SEMICONDUCTORS_RMS1,"74LVC1G07GV,125",
,,,NXP SEMICONDUCTORS_RMS1,74LVC1G07GV,BUFFER WITH OPEN DRAIN OUTPUT
10022965,"IC,REALTIMECLOCK, TSSOP",IC10,MAXIM_RMS1,DS1305E+,
,,,MAXIM_RMS1,DS1305E+T&R,
10022966,"CAPACITOR CERAMIC, 220PF, 50V,+/-5%, NPO,0402",C47,YAGEO_RMS1,223886915221,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, C0G, 0.00022 UF, SURFACE MOUNT, 0402"
,,,"MURATA MANUFACTURING CO., LTD.",GRM1555C1H221JA01D,MONOLITHIC CERAMIC CAPACITOR
,,,YAGEO_RMS1,CC0402JRNPO9BN221,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, C0G, 0.00022 UF, SURFACE MOUNT, 0402"
10022967,"CAPACITOR CERAMIC,1UF,16V,+/-10%, 0805","C54,C112,C114",KEMET_RMS1,C0805C105Z4VACTU,CERAMIC CHIP CAPACITOR
,,,KEMET_RMS1,C0805C105Z4VAC,CERAMIC SURFACE MOUNT
,,,YAGEO_RMS1,CC0805ZRY5V7BB105,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, Y5V, 1 UF, SURFACE MOUNT, 0805"
,,,MURATA_RMS1,GRM216B31C105KA87D,MONOLITHIC CERAMIC CAPACITOR
10022968,"CAP CERAMIC,220NF,25V,X7R,+/-10%,0805","C59,C65,C94,C102",AVX_RMS1,08053C224KAZ2A,SMT MULTILAYER CAPACITOR
,,,KEMET_RMS1,C0805C224K3RAC,CERAMIC CHIP CAPACITOR
,,,AVX_RMS1,08053C224KAT2A,X7R DIELECTRIC
,,,KEMET_RMS1,C0805C224K3RACTU,CERAMIC CHIP CAPACITOR
10022969,"DOUBLE AMPLIFIER RAIL TO RAIL, SO8",IC11,"ANALOG DEVICES, INC.",OP295GSZ-REEL7,IC OPAMP GP R-R 85KHZ DUAL 8SOIC
,,,"ANALOG DEVICES, INC.",OP295GSZ,IC OPAMP DUAL RAIL-RAIL 8SOIC
10022970,"IC,MICROPROCESSOR SUPERVISOR CIRCUIT,SO8",IC12,MAXIM_RMS1,MAX690ACSA+T,
,,,MAXIM_RMS1,MAX690ACSA+,MICROPROCESSOR SUPERVISORY CIRCUIT
10022971,"CAPACITOR CERAMIC, 1NF,50V,+/-10%, 0402",C84,YAGEO_RMS1,CC0402KRX7R9BB102*,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.001 UF, SURFACE MOUNT, 0402"
,,,YAGEO_RMS1,223858715623,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.001 UF, SURFACE MOUNT, 0402"
,,,KEMET_RMS1,C0402C102K5RACTU,"CAP, CER, 0.001UF, 50V, 10%, X7R, 0402"
,,,YAGEO_RMS1,223858715523,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.001 UF, SURFACE MOUNT, 0402"
10022973,"CAPACITOR TANTALUM, 22UF, 10V,+/-10%","C89,C92",KEMET,T495A226K010ATE1K2,"Cap, Tantalum, Polarized, 10V, 10% +/-Tol, 22uF, Surface Mount, Case A, EIA Metric 3216"
10022974,"RESET CIRCUIT, SUPERVISOR VOLTAGE 5V,SOT23","IC24,IC25",STMICROELECTRONICS,STM809LWX6F,RESET CIRCUIT
10022975,"CAPACITOR CERAMIC, 150PF,50V,+/-5,NPO, 0402","C99,C115,C121,C122,C123,C124",YAGEO_RMS1,CC0402JRNPO9BN151,CAP CER 150PF 50V C0G/NPO 0402
,,,KEMET_RMS1,C0402C151J5GACTU,CERAMIC CHIP CAPACITOR
,,,YAGEO_RMS1,223886915151,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, C0G, 0.00015 UF, SURFACE MOUNT, 0402"
10022976,"CAPACITOR CERAMIC,4.7NF,25V,+/-10%,0402",C101,KYOCERA_RMS1,CM05X7R472K25AT,MULTILAYER CERAMIC CAPACITOR
,,,KEMET_RMS1,C0402C472K3RACTU,CERAMIC CHIP CAPACITOR
,,,AVX_RMS1,04023C472KAT2A,CERAMIC CAPACITOR X7R
10022978,"CAPACITOR TANTALUM,10UF, 50V,+/-10%",C117,AVX CORPORATION,TAJD106K050RNJ,"CAPACITOR TANTALUM,10UF, 50V,+/-10%"
10023039,"IC,REFERENCE VOLTAGE 5V FIXED - 10 MA,SO8",IC21,LINEAR TECHNOLOGY_RMS1,LT1236CCS8-5#TRPBF,PRECISION REFERENCE
10023040,"IC,REFERENCE VOLTAGE 10V FIXED - 10 MA,SO8",IC23,LINEAR TECHNOLOGY_RMS1,LT1236CCS8-10#TRPBF,PRECISION REFERENCE
10023041,"IC, SUPERVISOR VOLTAGE 3.3 V,SOT23",IC36,STMICROELECTRONICS,STM809TWX6F,RESET CIRCUIT
10023117,"IC, PRESSURE TRANSDUCER,(-10/+100 MBAR)","IC16,IC18,IC22",SENSYM_RMS1,ASDX001D44R-SQ04689,PRESSURE TRANSDUCER
,,,HONEYWELL_RMS1,XZ209766-ASDX,IC DIFFERENTIAL PRESSURE SENSOR WITH ANALOGUE OUTPUT -10 TO 100 MBAR
10023118,"IC, INVERTER,SOT353","IC39,IC41",NXP SEMICONDUCTORS_RMS1,"74HCT1G04GW,125",
,,,NXP SEMICONDUCTORS_RMS1,74HCT1G04GW,INVERTER
10023119,"2 INPUT AND-GATE,SOT353",IC38,NXP SEMICONDUCTORS_RMS1,"74HCT1G08GW,125",
,,,NXP SEMICONDUCTORS_RMS1,74HCT1G08GW,2-INPUT AND-GATE
10023158,"EEPROM, SOIC8",IC32,MICROCHIP TECHNOLOGY_RMS1,25LC320-I/SN,EEPROM
,,,MICROCHIP TECHNOLOGY_RMS1,25LC320T-E/SN,EEPROM
,,,MICROCHIP TECHNOLOGY_RMS1,25LC320T-I/SN,EEPROM
,,,MICROCHIP TECHNOLOGY_RMS1,25LC320-E/SN,EEPROM
10023159,"IC, BAROMETRIC PRESSURE SENSOR",IC33,HONEYWELL_RMS1,XZ209330-ASDX,IC ABSOLUTE PRESSURE SENSOR WITH ANALOGUE OUTPUT 600 TO 1100 MBAR
,,,SENSORTECHNICS,BSDX0611BARO-X,PRESSURE TRANSDUCER
10023185,"RESISTANCE, 0 OHM,0603","JP1,JP6,R45,R69",YAGEO_RMS1,RC0603JR-070RL,RES 0.0 OHM 1/10W 0603 SMD
,,,YAGEO_RMS1,232270296001,"JUMPER, METAL GLAZE/THICK FILM, 0.1 W, 0 OHM, SURFACE MOUNT, 0603"
,,,YAGEO_RMS1,232270296001L,"JUMPER, METAL GLAZE/THICK FILM, 0.1 W, 0 OHM, SURFACE MOUNT, 0603"
,,,ASJ,CR16000ZL,THICK FILM CHIP RESISTOR
,,,KAMAYA                          (049580),RMC1/16JPTP,JUMPER
10023186,"FERRITE, 2.5, 3A",L30,WURTH ELEKTRONIK GMBH,7427512,5 HOLE SMD FERRITE BEAD
,,,WURTH ELEKTRONIK GMBH,7427504,6 HOLE FERRITE BEAD
10023187,"RESISTOR 1.5K OHM, 0603, +/-5%","R2,R10",YAGEO_RMS1,232270260152L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 1500 OHM, SURFACE MOUNT, 0603"
,,,YAGEO_RMS1,232270260152,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 1500 OHM, SURFACE MOUNT, 0603"
,,,YAGEO_RMS1,RC0603JR-071K5L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 1500 OHM, SURFACE MOUNT, 0603"
,,,KOA SPEER,RK73B1JTTD152J,THICK FILM CHIP RESISTOR
10023188,"RESISTOR, 220 K OHM, 0603,+/-5%",R3,YAGEO_RMS1,232270260224,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 220000 OHM, SURFACE MOUNT, 0603"
,,,YAGEO_RMS1,232270260224L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 220000 OHM, SURFACE MOUNT, 0603"
,,,KOA SPEER,RK73B1JTTD224J,THICK FILM CHIP RESISTOR
,,,YAGEO_RMS1,RC0603JR-07220KL,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 220000 OHM, SURFACE MOUNT, 0603"
10023189,"RESISTOR, 100 OHM, 0.063W +/-5%",R1,YAGEO_RMS1,RC0603JR-07100RL,RES 100 OHM 1/10W 5% 0603 SMD
,,,YAGEO_RMS1,232270260101,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 100 OHM, SURFACE MOUNT, 0603"
,,,ASJ,CR16-101JL,THICK FILM CHIP RESISTOR
,,,YAGEO_RMS1,232270260101L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 100 OHM, SURFACE MOUNT, 0603"
10023190,"RESISTOR, 620 OHM, 0.125W,+/-5%,0805","R13,R25,R27",MULTICOMP                       (920630),MC 0.1W 0805 5% 620R,THICK FILM CHIP RESISTOR
10023235,"RESISTOR, 56K OHM, 0603, +/-1%",R14,YAGEO_RMS1,232270465603,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 56000 OHM, SURFACE MOUNT, 0603"
,,,ASJ,CR16-5602FL,THICK FILM CHIP RESISTOR
,,,YAGEO_RMS1,232270465603L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 56000 OHM, SURFACE MOUNT, 0603"
,,,YAGEO_RMS1,RC0603FR-0756KL,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 56000 OHM, SURFACE MOUNT, 0603"
